change/year;-0.10052;-0.31744;-85.8;-0.4;-91;5.8;-96.6;;;;;;;;;;
year;dec;inc;H;F;X;Y;Z;;dec med;inc med;H med;F med;X med;Y med;Z med;;
2001.20273;-21.73172;-35.98268;19009.7;23492.2;17658.7;-7038.6;-13802.6;;;;;;;;;;
2001.22773;-21.73353;-35.98972;19007.7;23491.7;17656.6;-7038.4;-13804.7;;;;;;;;;;
2001.25273;-21.73533;-35.99677;19005.7;23491.3;17654.4;-7038.2;-13806.8;;;;;;;;;;
2001.27773;-21.73714;-36.00382;19003.6;23490.9;17652.3;-7038.0;-13808.9;;;;;;;;;;
2001.30273;-21.73894;-36.01087;19001.6;23490.5;17650.2;-7037.8;-13811.0;;;;;;;;;;
2001.32773;-21.74075;-36.01793;18999.6;23490.1;17648.1;-7037.6;-13813.1;;;;;;;;;;
2001.35273;-21.74256;-36.02498;18997.5;23489.7;17646.0;-7037.4;-13815.2;;;;;;;;;;
2001.37773;-21.74437;-36.03203;18995.5;23489.3;17643.9;-7037.2;-13817.3;;;;;;;;;;
2001.40273;-21.74617;-36.03908;18993.5;23488.9;17641.8;-7037.0;-13819.4;;;;;;;;;;
2001.42773;-21.74798;-36.04613;18991.5;23488.5;17639.7;-7036.8;-13821.5;;;;;;;;;;
2001.45273;-21.74979;-36.05318;18989.4;23488.1;17637.6;-7036.6;-13823.6;;;;;;;;;;
2001.47773;-21.75160;-36.06023;18987.4;23487.7;17635.5;-7036.4;-13825.7;;;;;;;;;;
2001.50273;-21.75341;-36.06728;18985.4;23487.2;17633.4;-7036.2;-13827.8;;;;;;;;;;
2001.52773;-21.75522;-36.07434;18983.3;23486.8;17631.3;-7036.0;-13829.9;;;;;;;;;;
2001.55273;-21.75703;-36.08139;18981.3;23486.4;17629.1;-7035.8;-13832.0;;;;;;;;;;
2001.57773;-21.75884;-36.08844;18979.3;23486.0;17627.0;-7035.6;-13834.1;;;;;;;;;;
2001.60273;-21.76065;-36.09549;18977.2;23485.6;17624.9;-7035.4;-13836.2;;;;;;;;;;
2001.62773;-21.76246;-36.10255;18975.2;23485.2;17622.8;-7035.2;-13838.2;;;;;;;;;;
2001.65273;-21.76427;-36.10960;18973.2;23484.8;17620.7;-7035.0;-13840.3;;;;;;;;;;
2001.67773;-21.76608;-36.11665;18971.1;23484.4;17618.6;-7034.8;-13842.4;;;;;;;;;;
2001.70273;-21.76790;-36.12371;18969.1;23484.0;17616.5;-7034.6;-13844.5;;;;;;;;;;
2001.72773;-21.76971;-36.13076;18967.1;23483.6;17614.4;-7034.5;-13846.6;;;;;;;;;;
2001.75273;-21.77152;-36.13782;18965.1;23483.2;17612.3;-7034.3;-13848.7;;;;;;;;;;
2001.77773;-21.77334;-36.14487;18963.0;23482.8;17610.2;-7034.1;-13850.8;;;;;;;;;;
2001.80273;-21.77515;-36.15192;18961.0;23482.4;17608.1;-7033.9;-13852.9;;;;;;;;;;
2001.82773;-21.77697;-36.15898;18959.0;23482.0;17606.0;-7033.7;-13855.0;;;;;;;;;;
