inc	dec	F	year
-36.5332	-21.8737	23461.20	2003.15
-36.5403	-21.8755	23460.80	2003.18
-36.5473	-21.8774	23460.40	2003.20
-36.5544	-21.8792	23460.10	2003.23
-36.5615	-21.8810	23459.70	2003.25
-36.5685	-21.8829	23459.30	2003.28
-36.5756	-21.8847	23458.90	2003.30
-36.5827	-21.8865	23458.50	2003.33
-36.5897	-21.8884	23458.20	2003.35
-36.5968	-21.8902	23457.80	2003.38
-36.6039	-21.8921	23457.40	2003.40
-36.6109	-21.8939	23457.00	2003.43
-36.6180	-21.8957	23456.70	2003.45
-36.6251	-21.8976	23456.30	2003.48
-36.6321	-21.8994	23455.90	2003.50
-36.6392	-21.9013	23455.50	2003.53
-36.6463	-21.9031	23455.10	2003.55
-36.6533	-21.9049	23454.80	2003.58
-36.6604	-21.9068	23454.40	2003.60
-36.6675	-21.9086	23454.00	2003.63
-36.6745	-21.9105	23453.60	2003.65
-36.6816	-21.9123	23453.30	2003.68
-36.6887	-21.9142	23452.90	2003.70
-36.6958	-21.9160	23452.50	2003.73
-36.7028	-21.9179	23452.10	2003.75
-36.7099	-21.9197	23451.80	2003.78
-36.7170	-21.9215	23451.40	2003.80
-36.7240	-21.9234	23451.00	2003.83
-36.7311	-21.9252	23450.70	2003.85
-36.7382	-21.9271	23450.30	2003.88
-36.7453	-21.9289	23449.90	2003.90
-36.7523	-21.9308	23449.50	2003.93
-36.7594	-21.9326	23449.20	2003.95
-36.7665	-21.9345	23448.80	2003.98
-36.7735	-21.9363	23448.40	2004.00
-36.7806	-21.9382	23448.10	2004.03
-36.7877	-21.9400	23447.70	2004.05
-36.7948	-21.9419	23447.30	2004.08
-36.8018	-21.9437	23447.00	2004.10
-36.8089	-21.9456	23446.60	2004.13
-36.8160	-21.9474	23446.20	2004.15
-36.8231	-21.9493	23445.90	2004.18
-36.8301	-21.9511	23445.50	2004.20
-36.8372	-21.9530	23445.10	2004.23
-36.8443	-21.9548	23444.80	2004.25
-36.8514	-21.9567	23444.40	2004.28
-36.8584	-21.9585	23444.00	2004.30
-36.8655	-21.9604	23443.70	2004.33
-36.8726	-21.9622	23443.30	2004.35
-36.8797	-21.9641	23442.90	2004.38
-36.8867	-21.9660	23442.60	2004.40
-36.8938	-21.9678	23442.20	2004.43
-36.9009	-21.9697	23441.80	2004.45
-36.9080	-21.9715	23441.50	2004.48
-36.9150	-21.9734	23441.10	2004.50
-36.9221	-21.9752	23440.80	2004.53
-36.9292	-21.9771	23440.40	2004.55
-36.9363	-21.9790	23440.00	2004.58
-36.9433	-21.9808	23439.70	2004.60
-36.9504	-21.9827	23439.30	2004.63
-36.9575	-21.9845	23438.90	2004.65
-36.9646	-21.9864	23438.60	2004.68
-36.9717	-21.9882	23438.20	2004.70
-36.9787	-21.9901	23437.90	2004.73
-36.9858	-21.9920	23437.50	2004.75
-36.9929	-21.9938	23437.20	2004.78
-37.0000	-21.9957	23436.80	2004.80
-37.0070	-21.9976	23436.40	2004.83
-37.0141	-21.9994	23436.10	2004.85
-37.0212	-22.0013	23435.70	2004.88
-37.0283	-22.0031	23435.40	2004.90
-37.0354	-22.0050	23435.00	2004.93
-37.0424	-22.0069	23434.70	2004.95
-37.0495	-22.0087	23434.30	2004.98
