1419857	7424338	-42.04736	-23.03491	-202.2780
1419859	7424333	-42.04734	-23.03495	-202.3450
1419860	7424327	-42.04732	-23.03500	-202.4200
1419863	7424323	-42.04729	-23.03504	-202.5000
1419865	7424318	-42.04727	-23.03508	-202.5710
1419868	7424314	-42.04724	-23.03512	-202.6280
1419870	7424309	-42.04722	-23.03516	-202.6820
1419873	7424304	-42.04719	-23.03520	-202.7360
1419874	7424300	-42.04717	-23.03524	-202.7880
1419876	7424295	-42.04715	-23.03528	-202.8390
1419879	7424290	-42.04712	-23.03532	-202.8940
1419881	7424286	-42.04710	-23.03536	-202.9380
1419884	7424281	-42.04707	-23.03540	-202.9700
1419885	7424277	-42.04705	-23.03544	-203.0120
1419888	7424272	-42.04702	-23.03548	-203.0380
1419890	7424267	-42.04700	-23.03552	-203.0780
1419892	7424263	-42.04698	-23.03556	-203.0900
1419895	7424258	-42.04695	-23.03560	-203.1000
1419896	7424253	-42.04693	-23.03564	-203.1110
1419899	7424249	-42.04690	-23.03568	-203.1210
1419901	7424244	-42.04688	-23.03572	-203.1330
1419904	7424240	-42.04685	-23.03576	-203.1230
1419906	7424235	-42.04683	-23.03580	-203.1300
1419907	7424230	-42.04681	-23.03584	-203.1120
1419910	7424226	-42.04678	-23.03588	-203.0870
1419912	7424221	-42.04676	-23.03592	-203.0700
1419915	7424216	-42.04673	-23.03596	-203.0330
1419917	7424212	-42.04671	-23.03600	-202.9860
1419919	7424207	-42.04668	-23.03604	-202.9450
1419921	7424203	-42.04666	-23.03608	-202.8990
1419923	7424198	-42.04664	-23.03612	-202.8370
1419926	7424193	-42.04661	-23.03616	-202.7690
1419928	7424189	-42.04659	-23.03620	-202.7140
1419930	7424184	-42.04656	-23.03624	-202.6420
1419932	7424180	-42.04654	-23.03628	-202.5740
1419935	7424175	-42.04651	-23.03632	-202.4910
1419937	7424170	-42.04649	-23.03636	-202.4180
1419939	7424166	-42.04647	-23.03640	-202.3270
1419942	7424161	-42.04644	-23.03644	-202.2460
1419943	7424156	-42.04642	-23.03648	-202.1470
1419946	7424152	-42.04639	-23.03652	-202.0480
1419948	7424147	-42.04637	-23.03656	-201.9320
1419951	7424143	-42.04634	-23.03660	-201.8000
1419953	7424138	-42.04632	-23.03664	-201.6620
1419954	7424133	-42.04630	-23.03668	-201.5480
1419957	7424129	-42.04627	-23.03672	-201.4150
1419959	7424124	-42.04625	-23.03676	-201.2650
1419962	7424119	-42.04622	-23.03680	-201.1320
1419964	7424115	-42.04620	-23.03684	-200.9570
1419966	7424110	-42.04617	-23.03688	-200.8060
1419968	7424106	-42.04615	-23.03692	-200.6070
1419970	7424101	-42.04613	-23.03696	-200.4300
1419973	7424096	-42.04610	-23.03700	-200.2480
1419975	7424092	-42.04608	-23.03704	-200.0570
1419977	7424087	-42.04605	-23.03708	-199.8710
1419979	7424083	-42.04603	-23.03712	-199.7030
1419981	7424078	-42.04601	-23.03716	-199.5430
1419984	7424073	-42.04598	-23.03720	-199.3530
1419986	7424069	-42.04596	-23.03724	-199.1760
1419988	7424064	-42.04593	-23.03728	-199.0140
1419990	7424059	-42.04591	-23.03732	-198.8550
1419993	7424055	-42.04588	-23.03736	-198.6770
1419995	7424050	-42.04586	-23.03740	-198.4870
1419997	7424046	-42.04584	-23.03744	-198.2990
1419999	7424041	-42.04581	-23.03748	-198.1060
1420001	7424036	-42.04579	-23.03752	-197.9110
1420004	7424032	-42.04576	-23.03756	-197.7090
1420006	7424027	-42.04574	-23.03760	-197.5040
1420008	7424022	-42.04572	-23.03764	-197.3190
1420010	7424018	-42.04569	-23.03768	-197.1330
1420012	7424013	-42.04567	-23.03772	-196.9550
1420014	7424009	-42.04565	-23.03776	-196.7840
1420017	7424004	-42.04562	-23.03780	-196.6050
1420019	7423999	-42.04560	-23.03784	-196.4120
1420021	7423995	-42.04557	-23.03788	-196.2350
1420023	7423990	-42.04555	-23.03792	-196.0530
1420025	7423986	-42.04553	-23.03796	-195.8670
1420028	7423981	-42.04550	-23.03800	-195.6960
1420030	7423976	-42.04548	-23.03804	-195.5090
1420033	7423972	-42.04545	-23.03808	-195.3290
1420034	7423967	-42.04543	-23.03812	-195.1390
1420036	7423962	-42.04541	-23.03816	-194.9620
1420039	7423958	-42.04538	-23.03820	-194.7670
1420041	7423953	-42.04536	-23.03824	-194.5960
1420044	7423949	-42.04533	-23.03828	-194.4210
1420045	7423944	-42.04531	-23.03832	-194.2600
1420047	7423939	-42.04529	-23.03836	-194.1060
1420050	7423935	-42.04526	-23.03840	-193.9350
1420052	7423930	-42.04524	-23.03844	-193.7830
1420054	7423927	-42.04522	-23.03847	-193.6080
1420056	7423922	-42.04519	-23.03851	-193.4470
1420058	7423917	-42.04517	-23.03855	-193.3190
1420060	7423913	-42.04515	-23.03859	-193.1670
1420063	7423908	-42.04512	-23.03863	-193.0210
1420065	7423904	-42.04510	-23.03867	-192.8770
1420067	7423899	-42.04507	-23.03871	-192.7390
1420069	7423894	-42.04505	-23.03875	-192.5870
1420071	7423890	-42.04503	-23.03879	-192.4590
1420074	7423885	-42.04500	-23.03883	-192.3110
1420076	7423880	-42.04498	-23.03887	-192.1780
1420077	7423876	-42.04496	-23.03891	-192.0470
1420080	7423871	-42.04493	-23.03895	-191.9310
1420082	7423867	-42.04491	-23.03899	-191.8110
1420084	7423862	-42.04489	-23.03903	-191.6880
1420087	7423857	-42.04486	-23.03907	-191.5790
1420088	7423853	-42.04484	-23.03911	-191.4590
1420090	7423848	-42.04482	-23.03915	-191.3450
1420093	7423844	-42.04479	-23.03919	-191.2380
1420095	7423839	-42.04477	-23.03923	-191.1290
1420097	7423834	-42.04475	-23.03927	-191.0220
1420098	7423830	-42.04473	-23.03931	-190.9200
1420101	7423825	-42.04470	-23.03935	-190.8160
1420103	7423820	-42.04468	-23.03939	-190.7300
1420105	7423816	-42.04466	-23.03943	-190.6410
