X	Y	Long	Lat	Z
-75000.00	140000.00	-45.5000	-16.6000	-0.250
-75000.00	145000.00	-45.5000	-16.5833	-0.120
-75000.00	150000.00	-45.5000	-16.5667	-0.011
-70000.00	-100000.00	-45.5000	-16.5500	9.827
-70000.00	-95000.00	-45.5000	-16.5333	10.533
-70000.00	-90000.00	-45.5000	-16.5167	11.254
-70000.00	-85000.00	-45.5000	-16.5000	11.975
-70000.00	-80000.00	-45.4833	-18.2500	12.675
-70000.00	-75000.00	-45.4833	-18.2333	13.327
-70000.00	-70000.00	-45.4833	-18.2167	13.895
-70000.00	-65000.00	-45.4833	-18.2000	14.333
-70000.00	-60000.00	-45.4833	-18.1833	14.589
-70000.00	-55000.00	-45.4833	-18.1667	14.599
-70000.00	-50000.00	-45.4833	-18.1500	14.296
-70000.00	-45000.00	-45.4833	-18.1333	13.609
-70000.00	-40000.00	-45.4833	-18.1167	12.476
-70000.00	-35000.00	-45.4833	-18.1000	10.849
-70000.00	-30000.00	-45.4833	-18.0833	8.706
-70000.00	-25000.00	-45.4833	-18.0667	6.067
-70000.00	-20000.00	-45.4833	-18.0500	2.997
-70000.00	-15000.00	-45.4833	-18.0333	-0.384
-70000.00	-10000.00	-45.4833	-18.0167	-3.909
-70000.00	-5000.00	-45.4833	-18.0000	-7.380
-70000.00	0.00	-45.4833	-17.9833	-10.591
-70000.00	5000.00	-45.4833	-17.9667	-13.350
-70000.00	10000.00	-45.4833	-17.9500	-15.514
-70000.00	15000.00	-45.4833	-17.9333	-16.997
-70000.00	20000.00	-45.4833	-17.9167	-17.782
-70000.00	25000.00	-45.4833	-17.9000	-17.914
-70000.00	30000.00	-45.4833	-17.8833	-17.481
-70000.00	35000.00	-45.4833	-17.8667	-16.602
-70000.00	40000.00	-45.4833	-17.8500	-15.403
-70000.00	45000.00	-45.4833	-17.8333	-14.005
-70000.00	50000.00	-45.4833	-17.8167	-12.510
-70000.00	55000.00	-45.4833	-17.8000	-11.004
-70000.00	60000.00	-45.4833	-17.7833	-9.546
-70000.00	65000.00	-45.4833	-17.7667	-8.179
-70000.00	70000.00	-45.4833	-17.7500	-6.928
-70000.00	75000.00	-45.4833	-17.7333	-5.805
-70000.00	80000.00	-45.4833	-17.7167	-4.811
-70000.00	85000.00	-45.4833	-17.7000	-3.943
-70000.00	90000.00	-45.4833	-17.6833	-3.193
-70000.00	95000.00	-45.4833	-17.6667	-2.551
-70000.00	100000.00	-45.4833	-17.6500	-2.004
-70000.00	105000.00	-45.4833	-17.6333	-1.542
-70000.00	110000.00	-45.4833	-17.6167	-1.153
-70000.00	115000.00	-45.4833	-17.6000	-0.829
-70000.00	120000.00	-45.4833	-17.5833	-0.558
-70000.00	125000.00	-45.4833	-17.5667	-0.335
-70000.00	130000.00	-45.4833	-17.5500	-0.151
-70000.00	135000.00	-45.4833	-17.5333	0.000
-70000.00	140000.00	-45.4833	-17.5167	0.123
-70000.00	145000.00	-45.4833	-17.5000	0.222
-70000.00	150000.00	-45.4833	-17.4833	0.301
-65000.00	-100000.00	-45.4833	-17.4667	10.832
-65000.00	-95000.00	-45.4833	-17.4500	11.715
-65000.00	-90000.00	-45.4833	-17.4333	12.642
-65000.00	-85000.00	-45.4833	-17.4167	13.600
-65000.00	-80000.00	-45.4833	-17.4000	14.572
-65000.00	-75000.00	-45.4833	-17.3833	15.530
-65000.00	-70000.00	-45.4833	-17.3667	16.439
-65000.00	-65000.00	-45.4833	-17.3500	17.250
-65000.00	-60000.00	-45.4833	-17.3333	17.902
-65000.00	-55000.00	-45.4833	-17.3167	18.321
-65000.00	-50000.00	-45.4833	-17.3000	18.420
-65000.00	-45000.00	-45.4833	-17.2833	18.105
-65000.00	-40000.00	-45.4833	-17.2667	17.284
-65000.00	-35000.00	-45.4833	-17.2500	15.874
-65000.00	-30000.00	-45.4833	-17.2333	13.822
-65000.00	-25000.00	-45.4833	-17.2167	11.122
-65000.00	-20000.00	-45.4833	-17.2000	7.827
-65000.00	-15000.00	-45.4833	-17.1833	4.064
-65000.00	-10000.00	-45.4833	-17.1667	0.028
-65000.00	-5000.00	-45.4833	-17.1500	-4.034
-65000.00	0.00	-45.4833	-17.1333	-7.853
-65000.00	5000.00	-45.4833	-17.1167	-11.178
-65000.00	10000.00	-45.4833	-17.1000	-13.816
-65000.00	15000.00	-45.4833	-17.0833	-15.650
-65000.00	20000.00	-45.4833	-17.0667	-16.659
-65000.00	25000.00	-45.4833	-17.0500	-16.898
-65000.00	30000.00	-45.4833	-17.0333	-16.483
-65000.00	35000.00	-45.4833	-17.0167	-15.565
-65000.00	40000.00	-45.4833	-17.0000	-14.298
-65000.00	45000.00	-45.4833	-16.9833	-12.827
-65000.00	50000.00	-45.4833	-16.9667	-11.273
-65000.00	55000.00	-45.4833	-16.9500	-9.728
-65000.00	60000.00	-45.4833	-16.9333	-8.256
-65000.00	65000.00	-45.4833	-16.9167	-6.899
-65000.00	70000.00	-45.4833	-16.9000	-5.679
-65000.00	75000.00	-45.4833	-16.8833	-4.603
-65000.00	80000.00	-45.4833	-16.8667	-3.669
-65000.00	85000.00	-45.4833	-16.8500	-2.868
-65000.00	90000.00	-45.4833	-16.8333	-2.190
-65000.00	95000.00	-45.4833	-16.8167	-1.621
-65000.00	100000.00	-45.4833	-16.8000	-1.146
-65000.00	105000.00	-45.4833	-16.7833	-0.754
-65000.00	110000.00	-45.4833	-16.7667	-0.433
-65000.00	115000.00	-45.4833	-16.7500	-0.171
-65000.00	120000.00	-45.4833	-16.7333	0.041
-65000.00	125000.00	-45.4833	-16.7167	0.210
-65000.00	130000.00	-45.4833	-16.7000	0.345
-65000.00	135000.00	-45.4833	-16.6833	0.450
-65000.00	140000.00	-45.4833	-16.6667	0.532
-65000.00	145000.00	-45.4833	-16.6500	0.593
-65000.00	150000.00	-45.4833	-16.6333	0.639
-60000.00	-100000.00	-45.4833	-16.6167	11.836
-60000.00	-95000.00	-45.4833	-16.6000	12.912
-60000.00	-90000.00	-45.4833	-16.5833	14.066
-60000.00	-85000.00	-45.4833	-16.5667	15.293
-60000.00	-80000.00	-45.4833	-16.5500	16.579
-60000.00	-75000.00	-45.4833	-16.5333	17.902
-60000.00	-70000.00	-45.4833	-16.5167	19.227
-60000.00	-65000.00	-45.4833	-16.5000	20.507
-60000.00	-60000.00	-45.4667	-18.2500	21.677
-60000.00	-55000.00	-45.4667	-18.2333	22.652
-60000.00	-50000.00	-45.4667	-18.2167	23.328
-60000.00	-45000.00	-45.4667	-18.2000	23.584
-60000.00	-40000.00	-45.4667	-18.1833	23.289
-60000.00	-35000.00	-45.4667	-18.1667	22.317
-60000.00	-30000.00	-45.4667	-18.1500	20.567
-60000.00	-25000.00	-45.4667	-18.1333	17.986
-60000.00	-20000.00	-45.4667	-18.1167	14.598
-60000.00	-15000.00	-45.4667	-18.1000	10.523
-60000.00	-10000.00	-45.4667	-18.0833	5.981
-60000.00	-5000.00	-45.4667	-18.0667	1.273
-60000.00	0.00	-45.4667	-18.0500	-3.256
-60000.00	5000.00	-45.4667	-18.0333	-7.275
-60000.00	10000.00	-45.4667	-18.0167	-10.522
-60000.00	15000.00	-45.4667	-18.0000	-12.837
-60000.00	20000.00	-45.4667	-17.9833	-14.186
-60000.00	25000.00	-45.4667	-17.9667	-14.638
-60000.00	30000.00	-45.4667	-17.9500	-14.339
-60000.00	35000.00	-45.4667	-17.9333	-13.475
-60000.00	40000.00	-45.4667	-17.9167	-12.233
-60000.00	45000.00	-45.4667	-17.9000	-10.783
-60000.00	50000.00	-45.4667	-17.8833	-9.262
-60000.00	55000.00	-45.4667	-17.8667	-7.769
-60000.00	60000.00	-45.4667	-17.8500	-6.371
-60000.00	65000.00	-45.4667	-17.8333	-5.105
-60000.00	70000.00	-45.4667	-17.8167	-3.990
-60000.00	75000.00	-45.4667	-17.8000	-3.028
-60000.00	80000.00	-45.4667	-17.7833	-2.212
-60000.00	85000.00	-45.4667	-17.7667	-1.530
-60000.00	90000.00	-45.4667	-17.7500	-0.966
-60000.00	95000.00	-45.4667	-17.7333	-0.507
-60000.00	100000.00	-45.4667	-17.7167	-0.137
-60000.00	105000.00	-45.4667	-17.7000	0.159
-60000.00	110000.00	-45.4667	-17.6833	0.392
-60000.00	115000.00	-45.4667	-17.6667	0.573
-60000.00	120000.00	-45.4667	-17.6500	0.711
-60000.00	125000.00	-45.4667	-17.6333	0.814
-60000.00	130000.00	-45.4667	-17.6167	0.889
-60000.00	135000.00	-45.4667	-17.6000	0.941
-60000.00	140000.00	-45.4667	-17.5833	0.974
-60000.00	145000.00	-45.4667	-17.5667	0.993
-60000.00	150000.00	-45.4667	-17.5500	0.999
-55000.00	-100000.00	-45.4667	-17.5333	12.808
-55000.00	-95000.00	-45.4667	-17.5167	14.088
-55000.00	-90000.00	-45.4667	-17.5000	15.489
-55000.00	-85000.00	-45.4667	-17.4833	17.012
-55000.00	-80000.00	-45.4667	-17.4667	18.651
-55000.00	-75000.00	-45.4667	-17.4500	20.394
-55000.00	-70000.00	-45.4667	-17.4333	22.213
-55000.00	-65000.00	-45.4667	-17.4167	24.066
-55000.00	-60000.00	-45.4667	-17.4000	25.889
-55000.00	-55000.00	-45.4667	-17.3833	27.594
-55000.00	-50000.00	-45.4667	-17.3667	29.061
-55000.00	-45000.00	-45.4667	-17.3500	30.143
-55000.00	-40000.00	-45.4667	-17.3333	30.668
-55000.00	-35000.00	-45.4667	-17.3167	30.451
-55000.00	-30000.00	-45.4667	-17.3000	29.324
-55000.00	-25000.00	-45.4667	-17.2833	27.163
-55000.00	-20000.00	-45.4667	-17.2667	23.932
-55000.00	-15000.00	-45.4667	-17.2500	19.718
-55000.00	-10000.00	-45.4667	-17.2333	14.749
-55000.00	-5000.00	-45.4667	-17.2167	9.380
-55000.00	0.00	-45.4667	-17.2000	4.044
-55000.00	5000.00	-45.4667	-17.1833	-0.821
-55000.00	10000.00	-45.4667	-17.1667	-4.858
-55000.00	15000.00	-45.4667	-17.1500	-7.847
-55000.00	20000.00	-45.4667	-17.1333	-9.724
-55000.00	25000.00	-45.4667	-17.1167	-10.571
-55000.00	30000.00	-45.4667	-17.1000	-10.562
-55000.00	35000.00	-45.4667	-17.0833	-9.922
-55000.00	40000.00	-45.4667	-17.0667	-8.870
-55000.00	45000.00	-45.4667	-17.0500	-7.601
-55000.00	50000.00	-45.4667	-17.0333	-6.264
-55000.00	55000.00	-45.4667	-17.0167	-4.964
-55000.00	60000.00	-45.4667	-17.0000	-3.767
-55000.00	65000.00	-45.4667	-16.9833	-2.707
-55000.00	70000.00	-45.4667	-16.9667	-1.797
-55000.00	75000.00	-45.4667	-16.9500	-1.035
-55000.00	80000.00	-45.4667	-16.9333	-0.410
-55000.00	85000.00	-45.4667	-16.9167	0.093
-55000.00	90000.00	-45.4667	-16.9000	0.489
-55000.00	95000.00	-45.4667	-16.8833	0.796
-55000.00	100000.00	-45.4667	-16.8667	1.028
-55000.00	105000.00	-45.4667	-16.8500	1.199
-55000.00	110000.00	-45.4667	-16.8333	1.320
-55000.00	115000.00	-45.4667	-16.8167	1.401
-55000.00	120000.00	-45.4667	-16.8000	1.450
-55000.00	125000.00	-45.4667	-16.7833	1.474
-55000.00	130000.00	-45.4667	-16.7667	1.479
-55000.00	135000.00	-45.4667	-16.7500	1.469
-55000.00	140000.00	-45.4667	-16.7333	1.447
-55000.00	145000.00	-45.4667	-16.7167	1.417
-55000.00	150000.00	-45.4667	-16.7000	1.380
-50000.00	-100000.00	-45.4667	-16.6833	13.714
-50000.00	-95000.00	-45.4667	-16.6667	15.202
-50000.00	-90000.00	-45.4667	-16.6500	16.860
-50000.00	-85000.00	-45.4667	-16.6333	18.697
-50000.00	-80000.00	-45.4667	-16.6167	20.722
-50000.00	-75000.00	-45.4667	-16.6000	22.932
-50000.00	-70000.00	-45.4667	-16.5833	25.315
-50000.00	-65000.00	-45.4667	-16.5667	27.843
-50000.00	-60000.00	-45.4667	-16.5500	30.462
-50000.00	-55000.00	-45.4667	-16.5333	33.087
-50000.00	-50000.00	-45.4667	-16.5167	35.595
-50000.00	-45000.00	-45.4667	-16.5000	37.818
-50000.00	-40000.00	-45.4500	-18.2500	39.540
-50000.00	-35000.00	-45.4500	-18.2333	40.515
-50000.00	-30000.00	-45.4500	-18.2167	40.481
-50000.00	-25000.00	-45.4500	-18.2000	39.210
-50000.00	-20000.00	-45.4500	-18.1833	36.564
-50000.00	-15000.00	-45.4500	-18.1667	32.548
-50000.00	-10000.00	-45.4500	-18.1500	27.365
-50000.00	-5000.00	-45.4500	-18.1333	21.404
-50000.00	0.00	-45.4500	-18.1167	15.198
-50000.00	5000.00	-45.4500	-18.1000	9.313
-50000.00	10000.00	-45.4500	-18.0833	4.239
-50000.00	15000.00	-45.4500	-18.0667	0.294
-50000.00	20000.00	-45.4500	-18.0500	-2.414
-50000.00	25000.00	-45.4500	-18.0333	-3.957
-50000.00	30000.00	-45.4500	-18.0167	-4.535
-50000.00	35000.00	-45.4500	-18.0000	-4.402
-50000.00	40000.00	-45.4500	-17.9833	-3.810
